"token","vader","n"
"universe",0,8
"variety",0,8
"visit",0,8
"woman",0,8
"woods",0,8
"wrote",0,8
"yang",0,8
"13",0,7
"6",0,7
"abby",0,7
"abilities",1,7
"act",0,7
"actions",0,7
"ahead",0,7
"amount",0,7
"anne",0,7
"anos",0,7
"appealing",0,7
"aspects",0,7
"award",1,7
"behave",0,7
"bible",0,7
"birthday",0,7
"blog",0,7
"breath",0,7
"brown",0,7
"car",0,7
"castle",0,7
"changed",0,7
"check",0,7
"chinese",0,7
"chocolate",0,7
"choice",0,7
"christian",0,7
"circus",0,7
"classroom",0,7
"club",0,7
"colorful",0,7
"complete",0,7
"constantly",0,7
"corner",0,7
"country",0,7
"creatures",0,7
"creepy",0,7
"dad",0,7
"dairy",0,7
"dangerous",-1,7
"det",0,7
"dos",0,7
"easily",1,7
"ein",0,7
"enjoying",1,7
"enjoyment",1,7
"explain",0,7
"extra",0,7
"eye",0,7
"fable",0,7
"fabulous",1,7
"fame",1,7
"features",0,7
"final",0,7
"foods",0,7
"force",0,7
"forward",0,7
"fur",0,7
"graders",0,7
"grandfather",0,7
"grew",0,7
"growing",1,7
"halloween",0,7
"happily",1,7
"hidden",0,7
"hit",0,7
"humorous",1,7
"hurt",-1,7
"ini",0,7
"involved",0,7
"issue",0,7
"issues",0,7
"lack",-1,7
"laugh",1,7
"laughed",1,7
"leaving",0,7
"letter",0,7
"liking",1,7
"lily",0,7
"listen",0,7
"listened",0,7
"mature",1,7
"meaning",0,7
"month",0,7
"moose",0,7
"moving",0,7
"multiple",0,7
"mutter",0,7
"muy",0,7
"netgalley",0,7
"olaf",0,7
"om",0,7
"pass",0,7
"personality",0,7
"playing",1,7
"porque",0,7
"poses",0,7
"premise",0,7
"preschool",0,7
"prize",1,7
"quirky",0,7
"relationship",0,7
"reminds",0,7
"rhythm",0,7
"rich",1,7
"robot",0,7
"science",0,7
"search",0,7
"sentences",1,7
"seuss",0,7
"sitting",0,7
"som",0,7
"sophie's",0,7
"standard",0,7
"stone",0,7
"storyline",0,7
"suddenly",0,7
"sum",0,7
"supposed",0,7
"taste",0,7
"teachers",0,7
"teaching",0,7
"team",0,7
"touch",0,7
"touching",0,7
"treasure",1,7
"uncle",0,7
"unrealistic",0,7
"wordless",0,7
"yetunde",0,7
"zombies",0,7
"2015",0,6
"50",0,6
"accepting",1,6
"admit",1,6
"advanced",1,6
"advice",0,6
"alert",1,6
"als",0,6
"america",0,6
"anais",0,6
"apparently",0,6
"att",0,6
"attempt",0,6
"balloon",0,6
"bird",0,6
"brat",0,6
"brings",0,6
"century",0,6
"charm",1,6
"choices",0,6
"chosen",0,6
"ci",0,6
"common",0,6
"compare",0,6
"compared",0,6
"complex",0,6
"courage",1,6
"creating",1,6
"dead",-1,6
"delight",1,6
"dengan",0,6
"description",0,6
"detective",0,6
"dialogue",0,6
"dim",0,6
"disappointing",-1,6
"discovers",0,6
"dislike",-1,6
"dogs",0,6
"door",0,6
"due",0,6
"dull",-1,6
"dumb",-1,6
"encourages",1,6
"er",0,6
"este",0,6
"event",0,6
"expect",0,6
"factory",0,6
"fairly",0,6
"favourite",0,6
"featuring",0,6
"fell",0,6
"flat",0,6
"fox",0,6
"fresh",1,6
"front",0,6
"game",0,6
"garden",0,6
"genre",0,6
"geschichte",0,6
"giants",0,6
"grades",0,6
"grown",0,6
"hair",0,6
"han",0,6
"hands",0,6
"hero",1,6
"importance",1,6
"include",0,6
"incredible",0,6
"inspired",1,6
"intended",0,6
"ja",0,6
"kate",0,6
"lifetime",0,6
"literary",0,6
"loss",-1,6
"lucky",1,6
"major",0,6
"manages",0,6
"match",0,6
"maxine",0,6
"med",0,6
"meets",0,6
"memorable",0,6
"mich",0,6
"miranda",0,6
"monty",0,6
"morris",0,6
"mothers",0,6
"moved",0,6
"mucho",0,6
"negative",-1,6
"normal",0,6
"north",0,6
"obnoxious",-1,6
"olds",0,6
"opportunity",1,6
"pain",-1,6
"painting",0,6
"para",0,6
"parade",0,6
"paragraph",0,6
"pay",-1,6
"plan",0,6
"poems",0,6
"potter",0,6
"practice",0,6
"preschoolers",0,6
"proper",0,6
"protagonist",0,6
"provide",0,6
"putting",0,6
"quest",0,6
"question",0,6
"r.l",0,6
"reads",0,6
"reality",0,6
"realizes",0,6
"reasons",0,6
"recently",0,6
"result",0,6
"retelling",0,6
"return",0,6
"rhyme",0,6
"ridiculous",-1,6
"rope",0,6
"rose",0,6
"rude",-1,6
"runs",0,6
"scenes",0,6
"sehr",0,6
"shapes",0,6
"situation",0,6
"situations",0,6
"smart",1,6
"smell",0,6
"smile",1,6
"sophie",0,6
"sound",0,6
"spanish",0,6
"speak",0,6
"spend",0,6
"standing",0,6
"starting",0,6
"stranger",0,6
"struck",-1,6
"stunning",1,6
"success",1,6
"table",0,6
"terribly",-1,6
"tony",0,6
"total",0,6
"traditional",0,6
"treats",0,6
"trilogy",0,6
"typical",0,6
"um",0,6
"unfortunate",-1,6
"unlike",0,6
"unusual",0,6
"vocabulary",0,6
"voices",0,6
"waiting",0,6
"wall",0,6
"win",1,6
"wonderfully",1,6
"writers",0,6
"yo",0,6
"2.5",0,5
"2017",0,5
"3.5",0,5
"acceptance",1,5
"accident",-1,5
"ad",0,5
"africa",0,5
"air",0,5
"alla",0,5
"alligator",0,5
"allowing",0,5
"angel",0,5
"answers",0,5
"ants",0,5
"appearance",0,5
"artist",0,5
"attack",-1,5
"auggie",0,5
"authors",0,5
"avoid",-1,5
"aware",0,5
"awful",-1,5
"awkward",-1,5
"ball",0,5
"basic",0,5
"beauty",1,5
"betsy",0,5
"boat",0,5
"born",0,5
"breastfeeding",0,5
"brundibar",0,5
"buch",0,5
"bullied",-1,5
"bunny",0,5
"busy",0,5
"calling",0,5
"capable",1,5
"capture",0,5
"catundra",0,5
"center",0,5
"central",0,5
"challenges",1,5
"charlotte",0,5
"chest",0,5
"clean",1,5
"climb",0,5
"clothes",0,5
"clunky",0,5
"college",0,5
"confusing",-1,5
"consequences",0,5
"considered",0,5
"contest",0,5
"control",0,5
"cosi",0,5
"cost",0,5
"crazy",-1,5
"cultures",0,5
"cut",-1,5
"dahl",0,5
"dance",0,5
"davvero",0,5
"deal",0,5
"decent",0,5
"demanding",-1,5
"depressing",-1,5
"describing",0,5
"descriptions",0,5
"detailed",0,5
"discover",0,5
"discovering",0,5
"discuss",0,5
"dragon",0,5
"drama",0,5
"drawing",0,5
"drawings",0,5
"drink",0,5
"earlier",0,5
"earth",0,5
"easter",0,5
"eaten",0,5
"educational",0,5
"een",0,5
"emotions",0,5
"emphasis",0,5
"endless",0,5
"epoca",0,5
"excitement",1,5
"execution",0,5
"explanation",0,5
"express",0,5
"fast",0,5
"fight",-1,5
"fire",-1,5
"fix",0,5
"folklore",0,5
"forced",-1,5
"forever",0,5
"forget",-1,5
"friendly",1,5
"frisby",0,5
"generation",0,5
"gentle",1,5
"ghost",-1,5
"gift",1,5
"goal",0,5
"goosebumps",0,5
"grab",0,5
"grimm",0,5
"gross",-1,5
"guy",0,5
"hanging",0,5
"har",0,5
"hatte",0,5
"hear",0,5
"hearted",0,5
"held",0,5
"hell",-1,5
"hermanos",0,5
"hole",0,5
"hook",0,5
"humans",0,5
"hummingbirds",0,5
"hundreds",0,5
"hungry",0,5
"imogene",0,5
"industry",0,5
"intelligent",1,5
"intriguing",0,5
"iris",0,5
"jag",0,5
"japanese",0,5
"jobs",0,5
"jones",0,5
"judy",0,5
"keeping",0,5
"kinda",0,5
"kindergarten",0,5
"lavoro",0,5
"lei",0,5
"lemony",0,5
"libraries",0,5
"likable",0,5
"lovable",1,5
"luckily",1,5
"macy's",0,5
"mad",-1,5
"mai",0,5
"manage",0,5
"maria",0,5
"mary",0,5
"mass",0,5
"media",0,5
"memories",0,5
"mention",0,5
"mess",-1,5
"mine",0,5
"mit",0,5
"mitzi",0,5
"mixed",0,5
"mo",0,5
"moments",0,5
"montalvan",0,5
"ms",0,5
"nar",0,5
"natural",1,5
"nest",0,5
"nights",0,5
"nonfiction",0,5
"novels",0,5
"obsessed",-1,5
"one's",0,5
"opinions",0,5
"opposite",0,5
"orange",0,5
"orphanage",0,5
"otra",0,5
"outwit",0,5
"overcome",0,5
"p.s",0,5
"paintings",0,5
"passed",0,5
"pen",0,5
"pet",0,5
"photo",0,5
"phrase",0,5
"plans",0,5
"plays",1,5
"plots",0,5
"poem",0,5
"popularity",1,5
"possibly",0,5
"preachy",0,5
"process",0,5
"program",0,5
"protect",1,5
"provided",0,5
"public",0,5
"publisher",0,5
"purpose",0,5
"questo",0,5
"quiet",0,5
"rate",0,5
"reach",1,5
"ready",1,5
"recall",0,5
"receiver",0,5
"related",0,5
"remembered",0,5
"results",0,5
"saint",0,5
"sangat",0,5
"sarg's",0,5
"satisfying",1,5
"scared",-1,5
"sempre",0,5
"send",0,5
"serve",0,5
"service",0,5
"shown",0,5
"size",0,5
"snappsy",0,5
"specifically",0,5
"spending",0,5
"stay",0,5
"stereotypes",0,5
"stine",0,5
"stolen",-1,5
"store",0,5
"storytimesecrets.blogspot.com",0,5
"summary",0,5
"supposedly",0,5
"surprising",1,5
"survive",0,5
"swallows",0,5
"target",0,5
"taught",0,5
"tea",0,5
"technology",0,5
"tedious",0,5
"term",0,5
"thrown",0,5
"tiempo",0,5
"tiny",0,5
"tips",0,5
"tochter",0,5
"toddler",0,5
"todo",0,5
"todos",0,5
"topic",0,5
"treat",1,5
"tutti",0,5
"types",0,5
"understanding",0,5
"usual",0,5
"viene",0,5
"wendy",0,5
"wimpy",-1,5
"wind",0,5
"winner",1,5
"winning",1,5
"winter",0,5
"wolves",0,5
"worry",-1,5
"writer",0,5
"writes",0,5
"zu",0,5
"14",0,4
"2nd",0,4
"3rd",0,4
"aardvark",0,4
"ab",0,4
"aber",0,4
"ability",1,4
"accept",1,4
"accepted",1,4
"ada",0,4
"adore",1,4
"adulthood",0,4
"agenda",0,4
"alane",0,4
"alex",0,4
"algunos",0,4
"allowed",0,4
"alongside",0,4
"amazons",-1,4
"annie",0,4
"anymore",0,4
"appears",0,4
"april",0,4
"arc",0,4
"arrives",0,4
"arthur",0,4
"aspect",0,4
"atlantis",0,4
"audiences",0,4
"aus",0,4
"average",0,4
"awhile",0,4
"bakery",0,4
"ballet",0,4
"banyak",0,4
"baudelaire",0,4
"beach",0,4
"belong",0,4
"bet",0,4
"betty",0,4
"bin",0,4
"birds",0,4
"bits",0,4
"boek",0,4
"bothered",-1,4
"brian",0,4
"bringing",0,4
"broadway",0,4
"brothers",0,4
"buddy",0,4
"buying",0,4
"captain",0,4
"captivating",0,4
"carrots",0,4
"cars",0,4
"catch",0,4
"caused",0,4
"chester",0,4
"childrens",0,4
"choose",0,4
"cinderella",0,4
"claims",0,4
"clues",0,4
"coding",0,4
"cold",0,4
"collage",0,4
"collages",0,4
"comics",0,4
"commentary",0,4
"competition",0,4
"conclusion",0,4
"connect",0,4
"connection",0,4
"continue",0,4
"convey",0,4
"crab",0,4
"creature",0,4
"crush",-1,4
"cry",-1,4
"cultural",0,4
"curse",-1,4
"dabei",0,4
"daily",0,4
"darker",0,4
"dass",0,4
"date",0,4
"dealing",0,4
"deals",0,4
"debut",0,4
"decide",0,4
"decisions",0,4
"della",0,4
"describe",0,4
"descriptive",0,4
"determined",1,4
"develops",0,4
"dinner",0,4
"discussion",0,4
"disjointed",-1,4
"disturbing",-1,4
"double",0,4
"dragged",-1,4
"dragging",0,4
"drawers",0,4
"dreams",1,4
"drills",0,4
"driven",0,4
"du",0,4
"easier",1,4
"edited",0,4
"effective",1,4
"egg",0,4
"ei",0,4
"element",0,4
"ellos",0,4
"emozioni",0,4
"encountered",0,4
"enemies",-1,4
"engaged",1,4
"england",0,4
"equally",0,4
"equivalent",0,4
"estos",0,4
"everyone's",0,4
"exercise",0,4
"experienced",0,4
"explains",0,4
"expressive",0,4
"extraordinary",0,4
"fables",0,4
"failed",-1,4
"fails",-1,4
"family's",0,4
"famous",0,4
"fare",0,4
"farmer",0,4
"fascinating",1,4
"fashioned",0,4
"father's",0,4
"favorites",1,4
"female",0,4
"figures",0,4
"figuring",0,4
"finishing",0,4
"fish",0,4
"fleshed",0,4
"focus",0,4
"forest",0,4
"forgotten",-1,4
"form",0,4
"freedom",1,4
"froggy",0,4
"gaarder",0,4
"gains",1,4
"gender",0,4
"genius",0,4
"god",1,4
"gorgeous",1,4
"grace",1,4
"grandpa",0,4
"grandparents",0,4
"grasp",0,4
"ground",0,4
"hace",0,4
"happiness",1,4
"harder",0,4
"harmony",1,4
"hats",0,4
"hay",0,4
"hearts",0,4
"helped",0,4
"helpful",1,4
"historia",0,4
"hoe",0,4
"hogwarts",0,4
"hold",0,4
"holds",0,4
"honor",1,4
"hoping",1,4
"horrorland",0,4
"horses",0,4
"hugs",1,4
"hunt",0,4
"ideal",1,4
"im",0,4
"image",0,4
"imaginary",0,4
"immensely",0,4
"india",0,4
"informative",0,4
"inspiration",1,4
"instance",0,4
"inte",0,4
"introduced",0,4
"introduces",0,4
"jack's",0,4
"jargon",0,4
"je",0,4
"joe",0,4
"joey",0,4
"johansson's",0,4
"julia",0,4
"jump",0,4
"junior",0,4
"kaj",0,4
"ken",0,4
"kinds",0,4
"knight",0,4
"lang",0,4
"led",0,4
"leer",0,4
"legend",0,4
"lion",0,4
"literally",0,4
"lived",0,4
"local",0,4
"logan",0,4
"loose",-1,4
"lord",0,4
"lose",-1,4
"losing",-1,4
"lucas",0,4
"lunch",0,4
"lying",-1,4
"manners",0,4
"max",0,4
"meeting",0,4
"mickey",0,4
"minor",0,4
"minutes",0,4
"mir",0,4
"mistakes",-1,4
"moment",0,4
"mondo",0,4
"moon",0,4
"muchos",0,4
"myths",0,4
"nancy",0,4
"native",0,4
"nicholas",0,4
"nonetheless",0,4
"oftmals",0,4
"orphans",0,4
"otros",0,4
"owner",0,4
"pa",0,4
"park",0,4
"party",1,4
"pattern",0,4
"pax",0,4
"person's",0,4
"perspective",0,4
"photographs",0,4
"photos",0,4
"picking",0,4
"piece",0,4
"pigs",0,4
"piu",0,4
"planet",0,4
"planning",0,4
"poco",0,4
"poetry",0,4
"portrayal",0,4
"possibility",0,4
"possum",0,4
"practical",0,4
"pratt",0,4
"prefer",0,4
"press",0,4
"pretending",1,4
"principal",0,4
"printed",0,4
"prove",0,4
"providing",0,4
"pulling",0,4
"quando",0,4
"quasi",0,4
"rainforest",0,4
"rare",0,4
"rated",0,4
"reader's",0,4
"realized",0,4
"recent",0,4
"recipes",0,4
"recuerdo",0,4
"references",0,4
"reindeer",0,4
"relatable",0,4
"relationships",0,4
"reluctant",-1,4
"remain",0,4
"rendered",0,4
"repetition",0,4
"represent",0,4
"research",0,4
"resource",0,4
"responsible",1,4
"reviewed",0,4
"reynie",0,4
"rounds",0,4
"rushed",0,4
"saga",0,4
"salami",0,4
"sale",0,4
"scenarios",0,4
"schools",0,4
"sea",0,4
"sequel",0,4
"sets",0,4
"seventh",0,4
"sexist",0,4
"shy",-1,4
"siblings",0,4
"sick",-1,4
"sign",0,4
"sitters",0,4
"skunk",0,4
"sky",0,4
"sleep",0,4
"snodrottningen",0,4
"social",0,4
"sounded",0,4
"speaking",0,4
"spell",0,4
"spencer",0,4
"spirited",1,4
"spread",0,4
"street",0,4
"strengths",1,4
"stronger",1,4
"study",0,4
"suggestions",0,4
"suppose",0,4
"surely",1,4
"survival",0,4
"sushi",0,4
"sweet's",0,4
"swim",0,4
"talent",1,4
"talented",1,4
"tall",0,4
"terms",0,4
"tests",0,4
"till",0,4
"tom",0,4
"tough",-1,4
"toys",0,4
"tricks",-1,4
"truth",1,4
"tutto",0,4
"understood",0,4
"unhappy",-1,4
"unos",0,4
"valley",0,4
"van",0,4
"verse",0,4
"vez",0,4
"vivid",0,4
"volume",0,4
"waste",-1,4
"watching",0,4
"wear",0,4
"western",0,4
"wide",0,4
"wild",0,4
"william",0,4
"would've",0,4
"wow",1,4
"ydi",0,4
"york",0,4
"youngsters",0,4
"yr",0,4
"zebra",0,4
"1.5",0,3
"15",0,3
"200",0,3
"2010",0,3
"2011",0,3
"2012",0,3
"4.5",0,3
"4th",0,3
"5th",0,3
"abrupt",0,3
"accessible",0,3
"accidents",-1,3
"accompanied",0,3
"accompanying",0,3
"accurate",0,3
"actively",1,3
"activities",0,3
"additional",0,3
"adhd",0,3
"adventurous",1,3
"adversity",-1,3
"agree",1,3
"ah",0,3
"albert",0,3
"alle",0,3
"allerdings",0,3
"alley",0,3
"altogether",0,3
"americas",0,3
"amused",1,3
"anche",0,3
"ancient",0,3
"andersen",0,3
"anni",0,3
"annoys",-1,3
"answer",0,3
"anteriores",0,3
"apologies",0,3
"argue",-1,3
"arm",0,3
"aschenputtel",0,3
"asleep",0,3
"assignment",0,3
"attached",0,3
"attacked",-1,3
"attracted",1,3
"auf",0,3
"aunque",0,3
"awaiting",0,3
"azkaban",0,3
"balloons",0,3
"bambino",0,3
"banned",-1,3
"barn",0,3
"bastante",0,3
"bat",0,3
"bats",0,3
"battle",-1,3
"batty",0,3
"beekle",0,3
"believable",0,3
"ben",0,3
"bigger",0,3
"bird's",0,3
"bite",0,3
"blends",0,3
"block",-1,3
"blood",0,3
"blowing",0,3
