"token","lsd","n"
"issue",0,6
"issued",0,6
"japan",0,6
"machines",0,6
"managing",0,6
"march",0,6
"marimekko",0,6
"material",0,6
"method",0,6
"north",0,6
"offer",0,6
"offering",0,6
"operators",0,6
"partner",1,6
"plan",0,6
"planning",0,6
"poyry",0,6
"produced",0,6
"program",0,6
"purchase",0,6
"record",0,6
"recurring",0,6
"responsible",1,6
"results",0,6
"rights",1,6
"ruukki",0,6
"savings",0,6
"short",0,6
"siemens",0,6
"sold",0,6
"starting",0,6
"stockmann",0,6
"stonesoft",0,6
"strategic",0,6
"strong",1,6
"tekla",0,6
"telecommunications",0,6
"teleste",0,6
"term",0,6
"terms",0,6
"trade",0,6
"users",0,6
"venture",0,6
"versus",0,6
"video",0,6
"_l",0,5
"000",0,5
"130",0,5
"19",0,5
"21",0,5
"3",0,5
"3g",0,5
"80",0,5
"administration",0,5
"affecto",0,5
"ago",0,5
"agreements",1,5
"airline",0,5
"alexandria",0,5
"appointed",0,5
"approval",1,5
"asia",0,5
"banks",0,5
"basis",0,5
"bn",0,5
"bonds",0,5
"broadband",0,5
"businesses",0,5
"buyout",0,5
"cargotec",0,5
"carried",0,5
"cash",0,5
"chief",0,5
"complete",0,5
"comptel",0,5
"conditions",0,5
"costs",0,5
"country",0,5
"daily",0,5
"date",0,5
"dec",0,5
"decided",0,5
"decrease",0,5
"developing",0,5
"eb",0,5
"eet",0,5
"entered",0,5
"entire",0,5
"espoo",0,5
"european",0,5
"excluding",-1,5
"expand",0,5
"expanding",0,5
"fall",0,5
"fiskars",0,5
"flights",0,5
"fourth",0,5
"france",0,5
"free",1,5
"friday",0,5
"germany",0,5
"headquarters",0,5
"hkscan",0,5
"holds",0,5
"hong",0,5
"improved",1,5
"include",0,5
"included",0,5
"integrated",0,5
"issues",0,5
"kong",0,5
"largest",0,5
"launch",0,5
"lay",0,5
"lead",0,5
"low",0,5
"magazine",0,5
"main",0,5
"manufactures",0,5
"margin",0,5
"materials",0,5
"maximum",0,5
"measures",0,5
"metres",0,5
"neste",0,5
"newspaper",0,5
"nordea",0,5
"northern",0,5
"operates",0,5
"option",0,5
"outlook",0,5
"partners",1,5
"patent",0,5
"pharmaceutical",0,5
"portfolio",0,5
"potential",0,5
"property",0,5
"raise",0,5
"reductions",0,5
"remaining",0,5
"retail",0,5
"run",0,5
"sanoma",0,5
"serve",0,5
"ship",0,5
"space",0,5
"sponda",0,5
"sq",0,5
"strengthen",1,5
"structures",0,5
"summer",0,5
"support",1,5
"team",0,5
"temporary",0,5
"thursday",0,5
"tonnes",0,5
"town",0,5
"u.s",0,5
"upm",0,5
"va",0,5
"vice",-1,5
"web",0,5
"wood",0,5
"_m",0,4
"08",0,4
"1.2",0,4
"2.2",0,4
"2.5",0,4
"2004",0,4
"22",0,4
"23",0,4
"accordance",1,4
"acquired",0,4
"acquiring",0,4
"acquisitions",0,4
"adp",0,4
"aims",0,4
"aldata",0,4
"aluminium",0,4
"amount",0,4
"arena",0,4
"arrangements",0,4
"art",0,4
"asset",1,4
"atria",0,4
"authorities",0,4
"automation",0,4
"beginning",0,4
"bridge",0,4
"cargo",0,4
"cencorp",0,4
"cent",0,4
"central",0,4
"change",0,4
"chinese",0,4
"close",0,4
"commercial",0,4
"committee",0,4
"completion",0,4
"components",0,4
"concern",-1,4
"considerably",0,4
"consumption",0,4
"continue",0,4
"convertible",0,4
"cover",0,4
"cross",0,4
"czech",0,4
"debt",-1,4
"decision",0,4
"designed",0,4
"developer",0,4
"digital",0,4
"direct",0,4
"disclosed",0,4
"electronic",0,4
"estonia",0,4
"etteplan",0,4
"event",0,4
"existing",0,4
"expertise",1,4
"facilities",0,4
"fair",1,4
"family",0,4
"feb",0,4
"fiber",0,4
"finance",0,4
"flexible",1,4
"flow",0,4
"forest",0,4
"form",0,4
"fortum",0,4
"front",0,4
"gmbh",0,4
"government",0,4
"handling",0,4
"head",0,4
"holding",0,4
"impact",0,4
"innovative",1,4
"installation",0,4
"invest",0,4
"investor",0,4
"jumped",0,4
"kone",0,4
"lease",0,4
"lemminkainen",0,4
"loan",0,4
"loans",0,4
"manufacturers",0,4
"martela",0,4
"metal",0,4
"modern",0,4
"move",0,4
"newly",0,4
"nonwovens",0,4
"norwegian",0,4
"noted",0,4
"nov",0,4
"nyse",0,4
"offers",0,4
"offs",0,4
"okmetic",0,4
"online",0,4
"outokumpu",0,4
"park",0,4
"patients",0,4
"persons",0,4
"phase",0,4
"plate",0,4
"platform",0,4
"pleased",1,4
"power",0,4
"pre",0,4
"pretax",0,4
"previous",0,4
"printed",0,4
"produce",0,4
"propose",0,4
"proposed",0,4
"published",0,4
"q2",0,4
"raisio",0,4
"rapala",0,4
"rate",0,4
"received",0,4
"reduced",0,4
"region",0,4
"register",0,4
"return",0,4
"safety",1,4
"sampo",0,4
"satama",0,4
"scheduled",0,4
"science",0,4
"segment",0,4
"senior",0,4
"shipping",0,4
"site",0,4
"south",0,4
"southern",0,4
"special",1,4
"started",0,4
"statement",0,4
"stockholm",0,4
"store",0,4
"structure",0,4
"suomen",0,4
"suominen",0,4
"taxes",0,4
"technologies",0,4
"telecom",0,4
"telko",0,4
"terminal",0,4
"tikkurila",0,4
"tons",0,4
"tools",0,4
"traffic",0,4
"tyres",0,4
"uk",0,4
"united",1,4
"user",0,4
"voting",0,4
"wednesday",0,4
"wipes",0,4
"workers",0,4
"yit",0,4
"00",0,3
"1,000",0,3
"10,000",0,3
"11",0,3
"2.4",0,3
"2.7",0,3
"25mn",0,3
"29",0,3
"3.8",0,3
"35",0,3
"37",0,3
"4.0",0,3
"4.5",0,3
"5.2",0,3
"70",0,3
"75",0,3
"access",0,3
"accessories",0,3
"accounted",0,3
"accounting",0,3
"act",0,3
"action",0,3
"actual",1,3
"advanced",1,3
"æ",0,3
"ænnen",0,3
"agricultural",0,3
"aim",0,3
"air",0,3
"aker",0,3
"amer",0,3
"america",0,3
"amounts",0,3
"analyst",0,3
"analysts",0,3
"assets",1,3
"association",0,3
"authority",0,3
"awarded",1,3
"balanced",1,3
"begin",0,3
"benefon",0,3
"biggest",0,3
"biohit",0,3
"bp",0,3
"brand",0,3
"brands",0,3
"bring",0,3
"broad",0,3
"builds",0,3
"built",0,3
"cable",0,3
"calendar",0,3
"calls",0,3
"cars",0,3
"cartel",0,3
"chemicals",0,3
"citycon",0,3
"class",0,3
"closed",0,3
"coatings",0,3
"collection",0,3
"combining",0,3
"comments",0,3
"comprehensive",1,3
"computer",0,3
"concludes",0,3
"conducted",0,3
"consideration",1,3
"consistent",1,3
"consulting",0,3
"continued",0,3
"contracted",0,3
"corporate",0,3
"create",1,3
"cruise",0,3
"danske",0,3
"days",0,3
"declined",0,3
"dedicated",1,3
"deliveries",0,3
"department",0,3
"deployment",0,3
"deutsche",0,3
"difficult",-1,3
"digia",0,3
"disclose",0,3
"display",0,3
"dollars",0,3
"ebit",0,3
"elected",0,3
"electricity",0,3
"employee",0,3
"enable",0,3
"enabling",0,3
"enhance",1,3
"ensure",1,3
"environmentally",0,3
"equipped",0,3
"eur13",0,3
"eur3m",0,3
"eur7",0,3
"excess",0,3
"exel",0,3
"expanded",0,3
"expansion",0,3
"explained",0,3
"exports",0,3
"ferry",0,3
"fine",0,3
"fish",0,3
"fishing",0,3
"floor",0,3
"forestry",0,3
"fujitsu",0,3
"generated",1,3
"generation",0,3
"goal",0,3
"gross",-1,3
"h1",0,3
"heat",0,3
"hk",0,3
"home",0,3
"honkarakenne",0,3
"houses",0,3
"implement",0,3
"implemented",0,3
"increasingly",0,3
"independent",0,3
"infrastructure",0,3
"integration",0,3
"interior",0,3
"introduced",0,3
"investors",0,3
"involved",0,3
"italy",0,3
"ixonos",0,3
"job",0,3
"kauko",0,3
"konecranes",0,3
"laid",0,3
"late",0,3
"latvia",0,3
"launched",0,3
"leader",0,3
"level",0,3
"limited",-1,3
"lines",0,3
"located",0,3
"location",0,3
"locations",0,3
"lte",0,3
"machine",0,3
"manage",0,3
"managed",0,3
"manages",0,3
"marubeni",0,3
"means",0,3
"meat",0,3
"mhz",0,3
"model",0,3
"monday",0,3
"monthly",0,3
"named",0,3
"narrowed",0,3
"nasdaq",0,3
"national",0,3
"natural",0,3
"nokian",0,3
"offices",0,3
"offshore",0,3
"operate",0,3
"operational",0,3
"ore",0,3
"organization",0,3
"organizations",0,3
"outlets",0,3
"owner",0,3
"p.m",0,3
"parties",0,3
"partnership",1,3
"past",0,3
"pay",0,3
"payment",0,3
"peab",0,3
"pekka",0,3
"perfect",1,3
"positive",1,3
"producer",0,3
"producers",0,3
"producing",0,3
"profitability",0,3
"q1",0,3
"qualcomm",0,3
"rates",0,3
"raute",0,3
"raw",0,3
"readers",0,3
"reduce",0,3
"reduction",0,3
"regions",0,3
"remain",0,3
"remained",0,3
"remote",0,3
"representing",0,3
"research",0,3
"revenues",0,3
"review",0,3
"ruokatalo",0,3
"sami",0,3
"scandinavian",0,3
"scanfil",0,3
"scope",0,3
"serving",0,3
"sheet",0,3
"shopping",0,3
"similar",0,3
"simultaneously",0,3
"slightly",0,3
"staff",0,3
"statements",0,3
"stood",0,3
"stores",0,3
"study",0,3
"subject",0,3
"sum",0,3
"swung",0,3
"symbian",0,3
"sysopen",0,3
"talentum",1,3
"talvivaara",0,3
"tamglass",0,3
"technical",0,3
"technopolis",0,3
"tehtaat",0,3
"testing",0,3
"tests",0,3
"textile",0,3
"textiles",0,3
"thesis",0,3
"tietoenator",0,3
"trading",0,3
"training",0,3
"transferred",0,3
"treatment",0,3
"tuesday",0,3
"tulikivi",0,3
"turku",0,3
"turnkey",0,3
"ukraine",0,3
"undisclosed",0,3
"union",0,3
"uponor",0,3
"uranium",0,3
"usa",0,3
"utility",0,3
"vacon",0,3
"valued",0,3
"vantaa",0,3
"variety",0,3
"versions",0,3
"viking",0,3
"vmc",0,3
"voice",0,3
"volumes",0,3
"waste",-1,3
"wind",0,3
"yesterday",0,3
"_land",0,2
"0",0,2
"0.04",0,2
"0.08",0,2
"0.25",0,2
"0.33",0,2
"0.7",0,2
"0.8",0,2
"07",0,2
"1.0",0,2
"1.3",0,2
"1.9",0,2
"1023",0,2
"11.2",0,2
"11.4",0,2
"11.9",0,2
"117",0,2
"13",0,2
"135",0,2
"14.4",0,2
"15.4",0,2
"15.8",0,2
"16.5",0,2
"17",0,2
"1997",0,2
"2.6",0,2
"200,000",0,2
"2012",0,2
"2013",0,2
"20mn",0,2
"25.1",0,2
"27",0,2
"28",0,2
"3,000",0,2
"3.0",0,2
"3.1",0,2
"3.4",0,2
"3.5",0,2
"358",0,2
"4.7",0,2
"4.8",0,2
"40",0,2
"43",0,2
"45",0,2
"46",0,2
"5,000",0,2
"5.4",0,2
"5.5",0,2
"5.9",0,2
"6.3",0,2
"60",0,2
"90,211,860",0,2
"98",0,2
"a.m",0,2
"abp",0,2
"ac",0,2
"accountant",0,2
"accounts",0,2
"acg1v",0,2
"actions",0,2
"additional",0,2
"address",0,2
"adpnews",0,2
"advertising",0,2
"æinen",0,2
"ænekoski",0,2
"affairs",0,2
"affect",0,2
"affected",-1,2
"affectogenimap",0,2
"ag",0,2
"aggregate",0,2
"aimed",0,2
"aircraft",0,2
"aktia",0,2
"alfa",0,2
"alternative",0,2
"altima",0,2
"altogether",0,2
"american",0,2
"animal",0,2
"annually",0,2
"antibody",0,2
"approach",0,2
"approve",1,2
"approved",1,2
"arthritis",0,2
"ashley",0,2
"asian",0,2
"assigned",0,2
"authorisation",0,2
"average",0,2
"awards",1,2
"bags",0,2
"balance",1,2
"banking",0,2
"bed",0,2
"beer",0,2
"beijing",0,2
"benchmark",0,2
"benefits",1,2
"birch",0,2
"boards",0,2
"bodies",0,2
"bond",0,2
"btt",0,2
"build",0,2
"buildings",0,2
"bulletin",0,2
"bullying",-1,2
"buy",0,2
"buyer",0,2
"cad",0,2
"calcination",0,2
"calculated",0,2
"call",0,2
"cap",0,2
"capable",1,2
"carbon",0,2
"carrollton",0,2
"carry",0,2
"centre",0,2
"cents",0,2
"changed",0,2
"channels",0,2
"characteristics",0,2
"charging",0,2
"chartered",0,2
"chemical",0,2
"children",0,2
"circulating",0,2
"citigroup",0,2
"clarify",1,2
"clean",1,2
"client",0,2
"closing",0,2
"commission",0,2
"commitment",1,2
"compensation",1,2
"competitive",0,2
"competitors",0,2
"composite",0,2
"composites",0,2
"comprise",0,2
"comprising",0,2
"computers",0,2
"conduct",0,2
"conference",0,2
"conjunction",0,2
"consists",0,2
"continental",0,2
"continues",0,2
"contribute",0,2
"copper",0,2
"copying",0,2
"core",0,2
"court",0,2
"covered",0,2
"cu",0,2
"cut",0,2
"cutting",-1,2
"danish",0,2
"dean",0,2
"debenture",0,2
"decade",0,2
"decoration",1,2
"defense",0,2
"degerfors",0,2
"delivered",0,2
"denmark",0,2
"deposits",0,2
"deputy",0,2
"develop",0,2
"diagnostics",0,2
"diluted",0,2
"discuss",0,2
"distance",0,2
"distribute",0,2
"district",0,2
"divested",0,2
"divided",-1,2
"dopplr",0,2
"doses",0,2
"drives",0,2
"drop",0,2
"eastern",0,2
"ebitda",0,2
"economic",0,2
"eesti",0,2
"electric",0,2
"elevators",0,2
"email",0,2
"employer",0,2
"employment",0,2
"encourage",1,2
"engaged",0,2
"english",0,2
"entrepreneurs",0,2
"environment",0,2
"environmental",0,2
"establish",0,2
"estimate",0,2
"estimates",0,2
"ethanol",0,2
"eu",0,2
"eur1",0,2
"eur15",0,2
"eur160m",0,2
"eur2",0,2
"eur4",0,2
"eur6",0,2
"eur928",0,2
"excited",1,2
"executed",0,2
"exercise",0,2
"expands",0,2
"experience",0,2
"experts",1,2
"extended",0,2
"extension",0,2
"extensive",0,2
"extraction",0,2
"extraordinary",1,2
"fast",0,2
"favorite",1,2
"fertilizer",0,2
"fia1s",0,2
"field",0,2
"final",0,2
"financialwire",0,2
"fined",0,2
"fl",0,2
"float",0,2
"fluid",0,2
"focused",0,2
"follow",0,2
"force",0,2
"forecast",0,2
"foreign",0,2
"forward",1,2
"found",0,2
"foundation",0,2
"frame",0,2
"friendly",1,2
"ft",0,2
"ftse",0,2
"fun",1,2
"functions",0,2
"gas",0,2
"genuine",1,2
"german",0,2
"gla1v",0,2
"google",0,2
"grade",0,2
"grades",0,2
"gradually",0,2
"grapevine",0,2
"gruppen",0,2
"guidance",0,2
"gypsii",0,2
"hall",0,2
"handelsbanken",0,2
"hans",0,2
"happy",1,2
"healthy",1,2
"heating",0,2
"helasto",0,2
"highly",0,2
"history",0,2
"hold",0,2
"holiday",1,2
"hook",0,2
"hopes",1,2
"hosting",0,2
"hotel",0,2
"hour",0,2
"hungary",0,2
"icis",0,2
"ict",0,2
"id",0,2
"ilkka",0,2
"image",0,2
"immediately",0,2
"implementation",0,2
"improve",1,2
"inaugurated",1,2
"incap",0,2
"increases",0,2
"industries",0,2
"informed",0,2
"initial",0,2
"inked",0,2
"innova",0,2
"inspection",0,2
"institutions",0,2
"intel",0,2
"intellibis",0,2
"interactive",0,2
"interface",0,2
"inventor",0,2
"invoice",0,2
"ireland",-1,2
"ivrcl",0,2
"jan",0,2
"jarmo",0,2
"jobs",0,2
"john",0,2
"jussi",0,2
"jyvaskyla",0,2
"kallasvuo",0,2
"kari",0,2
"kaupthing",0,2
"kg",0,2
"kroons",0,2
"kymmene",0,2
"launching",0,2
"law",0,2
"laying",0,2
"layoffs",0,2
"lcc",0,2
"le",0,2
"leasing",0,2
"leave",0,2
"led",0,2
"leed",0,2
"lem1s",0,2
"lenders",0,2
"levels",0,2
"license",0,2
"licensing",0,2
"lifecycle",0,2
"lift",0,2
"lifted",0,2
"light",0,2
"lion",0,2
"liquid",0,2
"list",0,2
"litas",0,2
"liters",0,2
"lithuania",0,2
"live",0,2
"lkab",0,2
"ll",0,2
"load",0,2
"logistics",0,2
"losses",-1,2
"loudeac",0,2
"magnetite",0,2
"mail",0,2
"makers",0,2
"manavigator",0,2
"manufacture",0,2
"manufactured",0,2
"marcel",0,2
"maritime",0,2
"marketwatch",0,2
"matching",0,2
"matti",0,2
"measurement",0,2
"meego",0,2
"membership",0,2
"merging",0,2
"messaging",0,2
"metals",0,2
"meters",0,2
"metro",0,2
"metso",0,2
"mexico",0,2
"mg",0,2
"mika",0,2
"mills",0,2
"minerals",0,2
"mining",0,2
"ministry",0,2
"mmo1v",0,2
"models",0,2
"modular",0,2
"money",0,2
"morning",0,2
"morvillars",0,2
"multi",0,2
"museum",0,2
"navigation",0,2
"negative",-1,2
"negotiating",0,2
"netherlands",0,2
"networking",0,2
"newpage",0,2
"newspapers",0,2
"nickel",0,2
"nok",0,2
"nomination",0,2
"nordstjernan",0,2
"norway",0,2
"notably",1,2
"note",0,2
"objective",0,2
"observed",0,2
"oct",0,2
"offerings",0,2
"oko",0,2
"olli",0,2
"operator",0,2
"opportunity",1,2
"orange",0,2
"orion",0,2
"outcome",0,2
"output",0,2
"outsourcing",0,2
"overview",0,2
"ownership",0,2
"palm",0,2
"panostaja",0,2
"papers",0,2
"parkano",0,2
"participants",0,2
"participating",0,2
"patja",0,2
"pcb",0,2
"pcbs",0,2
"pda",0,2
"peeling",0,2
"pension",0,2
"perform",0,2
"personal",0,2
"pertti",0,2
"peter",0,2
"pharmacokinetic",0,2
"phases",0,2
"pilot",0,2
"plywood",0,2
"poh1s",0,2
"post",0,2
"posted",0,2
"precision",1,2
"premium",0,2
"prices",0,2
"printing",0,2
"prior",0,2
"proceeds",0,2
"procurement",0,2
"profile",0,2
"promise",0,2
"properties",0,2
"protection",1,2
"proud",1,2
"proved",0,2
"proven",0,2
"providing",1,2
"psoriasis",0,2
"publish",0,2
"publisher",0,2
"quickly",0,2
"ra",0,2
"raahe",0,2
"ragot",0,2
"ramirent",0,2
"rapid",0,2
"rautalinko",0,2
"rbff",0,2
"reached",0,2
"reading",0,2
"recently",0,2
"registered",0,2
"registration",0,2
"regular",0,2
"relations",0,2
"releases",0,2
"reliability",1,2
"remains",0,2
"remuneration",0,2
"repeated",0,2
"replacement",0,2
"reporters",0,2
"reports",0,2
"republic",0,2
"repurchase",0,2
"requirements",0,2
"reserves",0,2
"residential",0,2
"resources",1,2
"respondents",0,2
"restructuring",0,2
"resulted",0,2
"retailer",0,2
"returned",0,2
"rheumatoid",0,2
"rise",0,2
"rival",0,2
"roger",0,2
"role",0,2
"romania",0,2
"route",0,2
"rule",0,2
"running",0,2
"runs",0,2
"runway",0,2
"saint",1,2
"salo",0,2
"sanomat",0,2
"sap",-1,2
"savcor",0,2
"scale",0,2
"scanning",0,2
"screen",0,2
"se",0,2
"seas",0,2
"section",0,2
"segments",0,2
"selected",0,2
"sellers",0,2
"selling",0,2
"separate",0,2
"sepp",0,2
"served",0,2
"server",0,2
"shareholder",0,2
"sheets",0,2
"shimano",0,2
"ships",0,2
"shipyards",0,2
"shoe",0,2
"shrank",0,2
"sign",0,2
"signing",0,2
"silicon",0,2
"simmons",0,2
"singapore",0,2
"single",0,2
"sitra",0,2
"skiers",0,2
"slide",0,2
"slipped",0,2
"source",0,2
"spanning",0,2
"sparebank",0,2
"specialising",0,2
"specialist",1,2
"spin",0,2
"sport",0,2
"spring",0,2
"srv",0,2
"standard",0,2
"standards",0,2
"standing",0,2
"stated",0,2
"stations",0,2
"statutory",0,2
"sto",0,2
"stream",0,2
"streamline",0,2
"strengthens",1,2
"strike",0,2
"stronger",1,2
"strongly",0,2
"subscriptions",0,2
"subsidiaries",0,2
"succeed",1,2
"successfully",1,2
"suite",0,2
"summary",0,2
"suomi",0,2
"supplies",0,2
"supports",1,2
"surfaces",0,2
"sverige",0,2
"swedbank",0,2
"syndicated",0,2
"synergies",0,2
"tablet",0,2
"takeover",0,2
"taking",0,2
"talermo",0,2
"tampere",-1,2
"tap",0,2
"targeting",0,2
"tax",0,2
"tel",0,2
"ten",0,2
"tens",0,2
"terminals",0,2
"tires",0,2
"tlt1v",0,2
"tm",0,2
"told",0,2
"tolerated",1,2
"tool",0,2
"topical",0,2
"tortue",0,2
"totals",0,2
"touch",0,2
"track",0,2
"traded",0,2
"transactions",0,2
"transfer",0,2
"travel",0,2
"turkish",0,2
"types",0,2
"unchanged",0,2
"unique",1,2
"vaahto",0,2
"vdw",0,2
"vehicle",0,2
"veneer",0,2
"vessels",0,2
"viewed",0,2
"viii",0,2
"vodafone",0,2
"votes",0,2
"votorantim",0,2
"wafer",0,2
"walking",0,2
"warehouse",0,2
"warmly",1,2
"warning",-1,2
"warsaw",-1,2
"water",0,2
"waterqueen",0,2
"website",0,2
"week",0,2
"weeks",0,2
"west",0,2
"wet",0,2
"wholly",0,2
"wider",0,2
"workforce",0,2
"worldwide",0,2
"yara",0,2
"yards",0,2
"york",0,2
"yr",0,2
"_com",0,1
"_kersberga",0,1
"_ne",0,1
"0.0",0,1
"0.02",0,1
"0.1",0,1
"0.14",0,1
"0.15",0,1
"0.2",0,1
"0.20",0,1
"0.21",0,1
"0.26",0,1
"0.34",0,1
"0.36",0,1
"0.38",0,1
"0.4",0,1
"0.42",0,1
"0.47",0,1
"0.48",0,1
"0.50",0,1
"0.56",0,1
"0.62",0,1
"0.91",0,1
"0.92",0,1
"01",0,1
"03",0,1
"04.01.2006",0,1
"09",0,1
"09.30",0,1
"0941",0,1
"1,012,945.50",0,1
"1,097,000",0,1
"1,125.60",0,1
"1,408",0,1
"1,500",0,1
"1,553",0,1
"1,600",0,1
"1,629,000",0,1
"1,900",0,1
"1.02",0,1
"1.15",0,1
"1.24",0,1
"1.35",0,1
"1.4",0,1
"1.523",0,1
"1.6",0,1
"1.60",0,1
"1.7",0,1
"10,736.42",0,1
"10.00",0,1
"10.14",0,1
"10.30",0,1
"10.5",0,1
"100mn",0,1
"101.0",0,1
"102.6",0,1
"104",0,1
"105",0,1
"105.9",0,1
"107,600",0,1
"108.7",0,1
"10th",0,1
"11.01.2008",0,1
"11.07",0,1
"11.3",0,1
"11.33",0,1
"111.1",0,1
"112.4",0,1
"113,000",0,1
"114.40",0,1
"115,000",0,1
"12,800",0,1
"12,890,829",0,1
