"","id","text","rating","afinn","lsd","vader","sums"
"444",444,"yall should tithing 10 percent of your followers to Colin. just saying God told you too. ","Neutral",0.2,-1,0.273,2.546
"801",801,"RT @funnyordie: It's not whether you win or lose, Donald. The only thing that matters in life is not winding up like you. #GOPDebate","Negative",0.467,0.333,-0.777,2.488
"902",902,"After #GOPDebate #FeelTheBern can step over fallen #Hillary2016
#Justice #FBI #FEC to dissect too of 22nd Amendment: http://t.co/4ljEUG3gyE?","Positive",-0.4,-1,0.226,2.452
"286",286,"Morrissey foreshadowed the character of the #GOPDebates: ""If it's not love, then it's the bomb that will bring us together.""","Neutral",0.2,-1,-0.763,2.4
"328",328,"@marcorubio's ears are freakishly huge. ","Neutral",0.2,-1,0.128,2.4
"456",456,"Chris Christie: Pro-Life Republicans Should Never Apologize for Being Pro-Life http://t.co/mDMnEd8lGq ","Positive",-0.2,1,-0.076,2.4
"51",51,"At last @JebBush trying to unite and pitch to by not attacking @realDonaldTrump ","Positive",-0.2,1,0.357,2.4
"342",342,"RT @Popehat: #GOPDebates Paul: ""I want to collect more records from terrorists and fewer from Americans.""","Negative",0.2,-1,-0.62,2.4
"655",655,"@juliaturner @Slate It's about time they admit to something. Truthfully if the didn't then we would call them out on it. ","Negative",-0.2,1,0.572,2.4
"432",432,"No doubt! Huge bump! ","Positive",-0.067,-1,0.186,2.372
"537",537,"RT @msgoddessrises: No doubt! Huge bump! ","Negative",-0.067,-1,0.186,2.372
"712",712,"@RealAlexJones @libertytarian @JakariJax @LeeAnnMcAdoo Wether @realDonaldTrump is a trojan horse or not, is he worth a punt? #GOPDebate","Negative",0.4,1,-0.169,2.338
"196",196,"Watching the #GOPDebates I can't help but think of Claire Underwood referring to political debates as ""spectacle"" in season 3 #Profound","Negative",0.4,1,-0.16,2.32
"953",953,"RT @Popehat: #GOPDebates Kelly: ""I really want to get to a question from Facebook.""  Yes. That's the problem.","Negative",0,-1,0.151,2.302
"40",40,"While I wasn't too impressed with her questions last night, @megynkelly 's dress rocked!!! #whoareyouwearing #GOPDebate @FoxNews","Positive",0.6,0,-0.531,2.262
"351",351,"""Raise your hand if you have ever been personally victimized by Regina George""
#GOPDebates http://t.co/L0QdV4Qmth","Neutral",-0.6,-1,0.103,2.206
"557",557,"@realDonaldTrump lives to fight another day. Odds seem to ever be in his favor. ","Positive",0.1,-1,0.026,2.2
"26",26,"RT @ShannonSanford9: Undoubtedly @FoxNews doesn't want @TedCruz to have any questions. ","Negative",0.2,1,-0.057,2.114
"126",126,"good that the moderators asked about past parties &amp; bankruptcies but they forgot the deferments,McCain comments,rape allegations..#GOPDebate","Neutral",-0.1,-0.6,0.421,2.042
"59",59,"RT @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. ","Negative",-0.2,0.2,-0.802,2.004
"317",317,"Trump did fine in the #GOPDebate. Not spectacular, but good enough. It's in the post-debate he's killing himself.","Negative",0.133,-0.333,-0.869,2.004
"11",11,"Ben Carson identifying the left's use of Alinsky tactics? Masterful. ","Negative",0,1,0,2
"14",14,"RT @MonsterandBoy: Just because I'm not 35 and this is past my bed time doesn't mean I shouldn't be allowed to debate! ","Negative",0,1,0,2
"16",16,"@sallykohn Substantive, vigorous, revealing....it was probably just over your head. #GOPDebate","Neutral",0,1,0,2
"19",19,"Aaand the question about the racial divide goes to ... *drum roll* ... the only black man on stage. ","Positive",0,-1,0,2
"30",30,"RT @RaeMacRaeRae: When all your friends are comedians, following the #GOPDebates is the FUNNEST!","Neutral",0,1,0.881,2
"33",33,"karl_sans_marx: RT carmengoblue: It is like Miss America meets Jerry Springer. ","Negative",0,1,0.226,2
"37",37,"Following last night's #GOPDebate @SarahPalinUSA stated that she could hear Putin crapping form her house!

 @realDonaldTrump @greggutfeld","Neutral",0,-1,0,2
"45",45,"Unless you're talking about our schools, air quality, water quality... #Kasich #GOPDebates  https://t.co/znljf0zJd9","Negative",0,1,0,2
"54",54,"@AvaBeata you're gonna get a kick out of last night! Lemme know what you think... ","Negative",0,-1,0,2
"93",93,"RT @MormonDems: Ben Carson: I will end polarization by removing health insurance from 17 million Americans. ","Negative",0,-1,0,2
"94",94,"@CarlyFiorina @realDonaldTrump #GOPDebate 
Country before party!  Why pledge away the option to do what may need to be done.","Positive",0,1,0.457,2
"102",102,"RT @pattonoswalt: Are they going to ask Lenny Kravitz's penis ONE question? This is very disrespectful. ","Negative",0,-1,0,2
"103",103,"Trump and most of the World! Just look at the Contribution List to the Clinton foundation ","Neutral",0,1,0,2
"106",106,"RT @fieldnegro: The happiest person in America today after watching those debates is HRC. ","Neutral",0,1,0.637,2
"125",125,"#GOPDebate went very well. My masters will soon choose which candidate will carry out their agenda
#WakeUpAmerica #p2 http://t.co/x8UWh4Kowv","Neutral",0,1,0.338,2
"139",139,"Fifty-fifty% on ""the stupidity of the American voter"" .@RealBenCarson on @HillaryClinton at the #GOPDebate http://t.co/pkyjSglvFr","Positive",0,-1,-0.44,2
"142",142,"RT @GallagherPreach: It is just me or can anyone else not wait for SNL this weekend for the debate coverage? ","Negative",0,1,0,2
"143",143,"For your entertainment. ","Negative",0,1,0.421,2
"149",149,"Fact checking (for those just recovering from last night's ","Negative",0,1,0,2
"151",151,"Repealing Dodd-Frank is not wise. ","Negative",0,-1,-0.372,2
"152",152,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates","Positive",0,1,0.318,2
"157",157,"RT @averykayla: You are now promising free pizza every Friday and no homework ever again! ","Negative",0,1,0.624,2
"165",165,"sydtrvp: RT BernieSanders: Tom Hanks. Finally. Somebody who makes some sense. ","Positive",0,1,0,2
"178",178,"RT @SalMasekela: Is Kasich aware that he's making sense? ","Positive",0,1,0,2
"185",185,"RT @tantan73: Here's the Vine of @BernieSanders dictating his Tweets during ","Neutral",0,-1,0,2
"194",194,"If #ChrisChristie's disapproval ratings are high now, wait till the #Bridgegate trial this fall. #GOPDebate #FoxNews http://t.co/r9CTpLW5UP","Positive",0,-1,0,2
"226",226,"RT @RWSurferGirl: These debates will raise @realDonaldTrump 's ratings because Fox News is afraid of Trump and it shows. ","Positive",-0.4,-1,0,2
"232",232,"RT @KennedyNation: ""Megyn I could crack your head open and eat your brain."" - Dr Ben Carson #GOPDebate","Neutral",0,1,0,2
"234",234,"same old tiresome ","Negative",0,-1,0,2
"236",236,"RT @Conssista: Rightly so Frank. Rightly so. ","Positive",0,1,0,2
"244",244,"Why watch 10 contenders debate when you can just watch Megyn Kelly? ","Positive",0,-1,0,2
"250",250,"RT @megynkelly: .@JohnKasich:  @realDonaldTrump is hitting a nerve in this country ","Neutral",0,-1,0,2
"260",260,"RT @fieldnegro: The happiest person in America today after watching those debates is HRC. ","Neutral",0,1,0.637,2
"272",272,"RT @zachhaller: The (painful) ","Negative",0,-1,-0.44,2
"275",275,"RT @MonsterandBoy: I think the candidates are afraid of debating education with a Monster! ","Negative",-0.4,-1,0,2
"288",288,"Walker answering on Iran. First straighten out our Brewers. ","Negative",0,1,0,2
"307",307,"RT @fieldnegro: The happiest person in America today after watching those debates is HRC. ","Negative",0,1,0.637,2
"312",312,"#GOPDebate: a lesson for coming months: quality and not quantity in words &amp; time for tangible and believable propsals
http://t.co/YHvNoEinyi","Negative",0,1,0,2
"321",321,"Huckabee plays bass right? He must play a Steinberger. I just know it. ","Positive",0,1,0.527,2
"322",322,"@ScottWalker It's not about ""proper training"". It's about ""proper upbringing.""   #GOPDebate #GOPDebates @megynkelly #FOP #ThinBlueLine","Neutral",0,1,0,2
"330",330,"RT @comcatholicgrl: @marcorubio slaying ","Positive",0,-1,0,2
"343",343,"RT @WashInformer: Rand Paul - You do not project power from bankruptcy court ","Neutral",0,-1,0,2
"348",348,"#FOXNEWS  right for a Change: #GOPdebates

THey ALL did well.  Each had their Moments.   REFRESHING  PHILOSOPHIES &amp; PLANS for AMERICA","Neutral",0,1,0.273,2
"366",366,"I was RIGHT! I should be an independent political strategist! ","Neutral",0,1,0,2
"372",372,"RT @nerdist: I gotta say it's refreshing to hear a presidential debate where everyone is correctly pronouncing ""nuclear"" #GOPDebate","Negative",0,1,0,2
"401",401,"RT @RWSurferGirl: Trump has got it right, nobody would talk about immigration, not untill be brought it up. #GOPDebate #GOPDebates","Neutral",0,1,0,2
"430",430,"In his hermetically sealed bedchamber, Pat Robertson has just tuned into the #GOPDebates, popcorn in hand. ""I was told there'd be miracles.""","Neutral",0,1,0.494,2
"436",436,"RT @pattonoswalt: Can't believe they're not showing Gwar's opening set. ","Neutral",0,1,0,2
"437",437,"@megynkelly @BretBaier @FoxNewsSunday Ppl say @realDonaldTrump needs specifics. Yet u gave THOSE type questions ONLY to opponents ","Positive",0,-1,0,2
"438",438,"RT @TheBaxterBean: WHY IS IT TAKING SO LONG FOR TED CRUZ TO RENOUNCE HIS CANADIAN CITIZENSHIP? http://t.co/6d6xVAfpf1 ","Negative",0,-1,0,2
"450",450,"RT @tperkins: TRUTH: The military is not a social experiment. -- @GovMikeHuckabee ","Positive",0,1,0.465,2
"464",464,"I forgot Ted Cruz was there ","Neutral",0,-1,0,2
"467",467,"RT @DrunkJCrewUGuys: Special Edition ","Neutral",0,1,0.402,2
"469",469,"#Trump lowered the bar for #Jeb, who smacked his head into it  #GOPClownCar #GOPDebate","Negative",0,-1,-0.128,2
"513",513,"RT @kwrcrow: @realDonaldTrump hits it out of park on @FoxNews gotcha question on campaign donations. ","Neutral",0,-1,0,2
"514",514,"A minister, a doctor and 2 business owners walked on a stage last night and made the most sense to me. #GOPDebate http://t.co/Gly4myQxYw","Positive",0,1,0,2
"525",525,"Lemme see...who else?Bush, Rubio? Too similar. #GOPDebate","Negative",0,-1,0,2
"526",526,"RT @fieldnegro: The happiest person in America today after watching those debates is HRC. ","Positive",0,1,0.637,2
"527",527,"RT @stephenstephan: Rubio: Basically all life is sacred. ","Positive",0,1,0,2
"529",529,"Kept wondering where The Donald left his pinky ring and gold chains were, what with his used car salesman gesturing/talk. #GOPDebate","Negative",0,1,0,2
"542",542,"Some of the funniest reactions to ","Negative",0,1,0.557,2
"547",547,"I missed the #GOPDebate, but I'm amazed that Trump is somehow considered in the lead.
https://t.co/Qzmg96pf75","Positive",0,1,0.572,2
"555",555,"It is just me or can anyone else not wait for SNL this weekend for the debate coverage? ","Negative",0,1,0,2
"556",556,"Ben Carson and he's standing out RIGHT NOW! ","Neutral",0,1,0,2
"561",561,"You're right Last I heard @SenSanders was that only women could give birth to s child. Has that changed? ","Positive",0,1,0,2
"564",564,"I wonder what kind of progressive views Mike Huckabee has on transgendered people. ","Negative",0.4,1,0,2
"566",566,"RT @TheRunster: Confirmed: @FoxNews did not ask ONE SINGLE QUESTION about ","Neutral",0,1,0,2
"571",571,"Fox is over this. Turning this into breaking news. ","Negative",0,-1,0,2
"573",573,"OK Trump you're the one who brought immigration to national stage sure lets go with that makes sense ","Positive",0,1,0.663,2
"583",583,"The winners of the GOP Debates: Kasich,  Fiorina, Clinton, Sanders, O'Donnell, and Kelly. #GOPDebate","Negative",0,1,0.477,2
"590",590,"RT @RWSurferGirl: These debates will raise @realDonaldTrump 's ratings because Fox News is afraid of Trump and it shows. ","Positive",-0.4,-1,0,2
"598",598,"Ben Carson is caked up with the finest Black Radiance setting powder.
#GOPDebate #GopDebates #BNRDebate #debate","Positive",0,1,0.34,2
"609",609,"Trump slams Megyn Kelly http://t.co/oBNQDPOemX via @worldnetdaily ","Positive",0,-1,0,2
"613",613,"@hrkbenowen Tuned in to learn more about the other guys not named Trump and it turned into Megyn Kelly's Peoples Court ","Neutral",0,1,0,2
"625",625,"RT @SalMasekela: Is Kasich aware that he's making sense? ","Negative",0,1,0,2
"633",633,"Wouldn't this be refreshing?
@tedcruz @RealBenCarson #GOPDebate  #ThinkBeforeYouVote #Stand #WillNeverLie  https://t.co/Vgz4knFXK7","Positive",0,1,0,2
"650",650,"RT @pacsgirl36: @rushlimbaugh yep @megynkelly sucked at ","Neutral",0,-1,-0.202,2
"661",661,"RT @comcatholicgrl: ""When the government tries to invade the Church, it's time to resist"" -@RandPaul #GOPDebate","Positive",0,-1,0,2
"662",662,"#Awkord is correct. What was that suppose to mean, ""Talk to the hand""?    @Cameron_Gray @writingdownpat #FoxDebate #GOPDebate","Negative",0,1,0.494,2
"665",665,"#PlaybookBreakfast yesterday: ""What we'll see tonight is...on every issue they're all the same"" Was @davidbrockdc correct about #GOPDebate?","Neutral",0,1,0,2
"675",675,"What would you say to a real life woman with rights and stuff? ","Neutral",0,1,0,2
"679",679,"I can't wait for Hillary Clinton to put the ","Negative",0,-1,0,2
"680",680,"Martha MacCallum gets credit for asking whether Christians have a religious liberty double-standard for Muslims ","Negative",0,1,0.718,2
"681",681,"Well that was.....amusing....now time for Project Runway Season 14!!! Yippie!!! ","Neutral",0,1,0.505,2
"711",711,"It's a wrestling match. ","Neutral",0,-1,0,2
"713",713,"Trump: Bush admin ""A catastrophe""and the audience tried to clap.  They didn't know what to do. #GOPDebates #GOPDebacle","Neutral",-0.6,-1,0,2
"714",714,"RT @optibotimus: Know what's funny....the ","Positive",0.8,1,0,2
"727",727,"Unborn can't yet speak but have more rights ","Neutral",0,1,0,2
"773",773,"#GOPDebates - put all of those men on stage in one body and you still don't have one decent President. 
#IStandWithObama
#Hillary2016","Negative",0,1,0,2
"783",783,"RT @DonnieWahlberg: Enjoyed the ","Neutral",0,1,0.511,2
"791",791,"RT @scrowder: Talking all things #GOPDebate. Specifically, the complete massacre that happened at the hands of Carly Fiorina. #LwC","Negative",0,-1,0,2
"800",800,"Watching the #GOPDebate from last night. Ouf, it's tough hearing Donald Trump speak. Gonna be a long road to the Republican nomination.","Negative",0,-1,-0.128,2
"814",814,".@CarlyFiorina Shows How to Push Back Against Matthews on @Hardball ","Positive",0,-1,0,2
"819",819,"Roger Ailes set up @realDonaldTrump from the first Q. ","Neutral",0,-1,0,2
"825",825,"RT @JimmyJames38: Dayum! Carson just kicked that question in its throat. ","Neutral",0,-1,0,2
"846",846,"RT @jasper_deezy: Mike Huckabee quoting Limp Bizkit lyrics for his military talking points ","Negative",0,-1,0,2
"848",848,"Oh ya the way to get swing voters over to Democrat side is to have Debbie Wasserman Schultz complaints ugh ","Neutral",0,-1,-0.67,2
"849",849,"RT @RWSurferGirl: These debates will raise @realDonaldTrump 's ratings because Fox News is afraid of Trump and it shows. ","Negative",-0.4,-1,0,2
"852",852,"RT @JohnKasich: John Kasich knows how to balance budgets because he's actually done it. He will do it again. ","Positive",0,1,0,2
"859",859,"hadiyah: Rand Paul rocking that Wet and Wavy. Ooh Kill'em! ","Negative",0,-1,0,2
"884",884,"RT @PatriotTweetz: TT:@ AriDavidUSA: BREAKING NEWS! Last night during the ","Neutral",0,-1,0,2
"891",891,"@FoxNews fumbles the ","Negative",0,-1,0,2
"898",898,"Trump didn't pledge to not run third party, but I'll pledge to vote third party if he's the nominee. http://t.co/3teP5ZSZUn #GOPDebate","Negative",0,1,0.444,2
"910",910,"RT @Jerry_Holbert: Refreshing. ","Negative",0,1,0,2
"917",917,"RT @adamslily: Here's your contrast. ","Positive",0,-1,0,2
"924",924,"RT @WhineNot: Rush: ""Not one of the 9 other candidates on the stage joined Megan Kelly in going after Donald Trump"" #GOPDebate","Negative",0,1,0,2
"932",932,"RT @theyentareport: What? You want to know if any of the candidates hear strange voices in their head?  ","Negative",0,-1,-0.217,2
"952",952,"@billmaher Can't wait to get your take on #GOPDebate, Planned Parenthood, Iran Deal, Trump on tonight's #RealTime","Negative",0,-1,0,2
"957",957,"RT @danholler: Cruz hit unconstitutional executive actions, #PlannedParenthood, religious liberty and Iran deal in final answer. #GOPDebate","Neutral",0,1,0.527,2
"963",963,"RT @SalMasekela: Is Kasich aware that he's making sense? ","Positive",0,1,0,2
"978",978,".@megynkelly slayed the ","Positive",0,-1,0,2
"983",983,"Now America understands why DC has brunches with bottomless mimosas ","Negative",0,1,0,2
"986",986,"RT @GallagherPreach: It is just me or can anyone else not wait for SNL this weekend for the debate coverage? ","Positive",0,1,0,2
"989",989,"RT @SalMasekela: Is Kasich aware that he's making sense? ","Neutral",0,1,0,2
"998",998,"Because we are gluttons for punishment, we watched both debates. We may have a few things to say come Sunday. #GOPDebate","Neutral",0,-1,-0.494,2
"1000",1000,"Definitely Off Topic:

Watched the #GOPDebate last night and was thoroughly entertained.","Neutral",0,1,0.69,2
"202",202,"#VoteBlue than, eh? RT @OutnumberedFNC .@JedediahBila I want to put someone in [office] that I don't want to have to worry about #GOPDebate","Neutral",-0.067,-1,-0.426,1.866
"994",994,"Intern on #GOPDebate: ""this lady kept asking questions about gay rights and lesbians and women's rights. It was ridiculous.""","Negative",-0.6,0.333,-0.361,1.866
"362",362,"#GOPDebate One critique: Not a debate as much as a ""get to know your candidates."" One Q per all the big problems in the world. Dissatisfying","Neutral",-0.1,-1,-0.727,1.8
"72",72,"hadiyah: Lets see Jeb Bush try to solve a Common Core math problem. ","Negative",-0.1,-1,-0.226,1.8
"109",109,"While I sometimes don't like @realDonaldTrump 's character, he's still the only candidate calling it like it is. #GOPDebate #ycot","Positive",0.4,1,0.1,1.8
"501",501,"And what a big mistake it was for Wallace to question @realDonaldTrump's business tactics. Never question Trump on business ","Negative",-0.1,-1,-0.34,1.8
"637",637,"No one summed it up better than ","Positive",0.1,1,0.178,1.8
"984",984,".@megynkelly displayed ""utmost authority"" at @foxnews #GOPDebate, critic says. http://t.co/8JbvwJTj3T http://t.co/mel8jxm19b","Positive",-0.1,-1,-0.202,1.8
"22",22,"RT @HRC: For too long outdated ban has discriminated against qualified transgender Americans who simply want to serve their country ","Negative",-0.1,-1,-0.511,1.8
"453",453,"The #GOPDebate ratings were huge, which appeared to hurt broadcast: http://t.co/DRn2BHOhII","Positive",-0.1,-1,-0.273,1.8
"463",463,"RT @averykayla: At what point am I suppose to stop laughing and start crying? ","Negative",-0.133,-1,-0.273,1.734
"705",705,"RT @DeenaZaruCNN: .@RealBenCarson: Thank you Megyn, I wasn't sure I was going to to get to talk again #GOPDebate http://t.co/GNnn9idoNs","Positive",0.4,1,0.138,1.724
"518",518,"I think all the GOP candidates have a secret crush on Hillary because they were trashing talking her so much. ","Negative",-0.2,-1,-0.153,1.694
"622",622,"LOL they're clapping for Carly. I think she won this debate too. ","Neutral",0.6,0,0.831,1.662
"78",78,"Sen. Perry calls for ""aviation assets"" (means spy drones) that ""identify what individuals are doing"" 24/7 #GOPDebates http://t.co/ipbSIczyIN","Negative",0.4,1,0.178,1.644
"749",749,"@ShawnSuth Don't be misled. It was like a 5/10 tweet party. The #GOPDebate, on the other hand, would have been incredible.","Positive",0.4,0,0.813,1.626
"553",553,"Republicans Debate Economics: Rubio Wins, Bush Falters, Huckabee Exaggerates http://t.co/mOlloaQhWQ #GOPdebate #knowmorenotless @GPNAPLang","Positive",0.2,-0.333,0.477,1.62
"502",502,"If you are one to complain about America's corrupt 2 party system - you better not complain about Trump's threat last night ","Positive",-0.2,-0.6,0.205,1.61
"34",34,"restorereality: Fuck ya Donald Trump you rocked ","Negative",-0.8,0,-0.542,1.6
"69",69,"RT @RT0787: alyssaphucker: RT HuffingtonPost: The real winner of the #GOPDebate? MegynKelly
https://t.co/KmRn9BV2fM http://t.co/AuhlNZa3Ww","Negative",0.8,0,0.586,1.6
"99",99,"Wow look at all the diversity in the GOP!  ","Negative",0.8,0,0.624,1.6
"141",141,"GOD loves me even if I don't do as he says! Oops.. He forgives me not you! ","Negative",0.2,1,0.869,1.6
"161",161,"Gay Hoover Claims Spark Outrage Among Ex-FBI Agents http://t.co/q4RPV2tBX6

Nixon Johnson America NYT NYC #GOPDebate http://t.co/PVOPzKKT9m","Neutral",-0.2,-1,-0.34,1.6
"175",175,"RT @fieldnegro: So now we know who uncle Rupert does NOT want to be the republican nominee. Mr Bad Hair, that would be you. #GOPDebates","Neutral",-0.2,-1,-0.575,1.6
"184",184,"Wow, I expected a lot of people would watch the #GOPDebate but not this many http://t.co/io41NN1omN","Positive",0.8,0,0.34,1.6
"229",229,"RT @RobElgasABC7: WOW. The ratings for last night's #GOPDebate are jaw dropping. Nielsen says 16.0 nationwide, most watch debate ever.","Neutral",0.8,0,0.674,1.6
"285",285,""".@FoxNews: Opinion: Trump loses #GOPDebate but Rubio, Cruz and others triumph via @lizpeek http://t.co/q13VkuLP3r http://t.co/qoCnOIxEdN""","Negative",0.8,0,0.542,1.6
"289",289,"This was indeed one of Jeb's more curious statements last night. ","Neutral",0.2,1,0.38,1.6
"324",324,"Mr Trump's questions were NO tougher than anyone else's. When you get center stage you gotta be able to take the heat. ","Negative",-0.2,-1,-0.307,1.6
"325",325,"Contrary to Trump's views, the FOX News debate moderators were on brilliant form last night. #gopdebate","Negative",0.8,0,0.586,1.6
"327",327,"RT @SBSwenson: The truth will set us free! Donald Trump made one shockingly insightful comment re money ","Neutral",0.2,1,0.636,1.6
"365",365,"RT @OhNoSheTwitnt: Every time a GOP candidate mentions Hillary a woman receives free birth control. ","Neutral",0.2,1,0.511,1.6
"402",402,"RT @Clarknt67: I trust ","Positive",0.2,1,0.511,1.6
"409",409,".@instagram and @facebook need to free the @Dreamdefenders acct. ","Negative",0.2,1,0.511,1.6
"413",413,"RT @Will_Bunch: So smart of Kasich to say, essentially, ""I hear the concerns of Trump voters except that I'm sane"" #GOPDebates","Positive",0.2,1,0.458,1.6
"451",451,"RT @deray: Hillary Clinton is getting a lot of free PR from candidates today at the ","Neutral",0.2,1,0.511,1.6
"466",466,"RT @MonsterandBoy: I am in an uproar for not being invited to tonight's debate! I demand a reason!  ","Negative",-0.2,-1,-0.27,1.6
"472",472,"Watching the #GOPDebates on tape delay: isn't the overtime buzzer the same as the one from Jeopardy's ""Daily Double""?","Neutral",-0.2,-1,-0.318,1.6
"477",477,"Agree with @IngrahamAngle on @foxnews questions for ","Positive",0.2,1,0.361,1.6
"531",531,"God blessed our country, the Republican candidates....but NOT them democrats. -Rubio #Paraphrase #GOPDebates you... http://t.co/PgijYpJZdf","Negative",0.2,1,0.718,1.6
"569",569,"Three best performance in the #GOPDebates (in no order), IMHO:  Carly Fiorina &amp; Ben Carson &amp; Marco Rubio.""","Positive",0.2,1,0.459,1.6
"663",663,"#GOPDebate reassured of affinity Republicans have with Kurdish militants. If elected president Jindal said he'll ""arm the Kurds"" i.e. PYD.","Positive",0.2,1,0.402,1.6
"667",667,"Wow ","Positive",0.8,0,0.586,1.6
"673",673,"It was truly amazing how derogatory the ","Neutral",0.8,0,0.772,1.6
"686",686,"@InaMaziarcz Remember, kids. #jebbush is the ""smart"" brother.  #gopdebates","Neutral",0.2,1,0.402,1.6
"692",692,"RT @monaeltahawy: Has any candidate received a word from God?! Presidential hopefuls?! This is America?! Christian Brotherhood of America ","Neutral",0.2,1,0.545,1.6
"721",721,"Trump is going to claim God gave him a campaign contribution. ","Negative",0.2,1,0.273,1.6
"736",736,"RT @ReelQuinn: Pretty sure Ted Cruz was one of the Darrens from Bewitched. #GOPDebate
 #Derwood","Negative",0.2,1,0.67,1.6
"757",757,"Republicans: ""I have a black friend and a gay friend. They're the same person. I can only expand so much. 'Murica."" #GOPDebates","Neutral",0.2,1,0.827,1.6
"863",863,"RT @MotorCityLib: Forget the ","Neutral",-0.2,-1,-0.226,1.6
"879",879,"Issue isnt guy w 16 followers. Issue is Trump agreed w it enough to RT.
#GOPDebate  https://t.co/RrLlLVATET","Neutral",0.2,1,0.273,1.6
"885",885,"RT @TeamMarco: Marco nailed it on abortion. We must protect life. ","Positive",0.2,1,0.382,1.6
